sesuai,2
best,2
the best,2
gacor,2
nice,2
cakep,2
rapih,3
love,2
gak ragu,3
nyaman,2
recommended,2
terkirim,2
harga terjangkau,4
model menarik,4
kelas,2
asik,4
semangat,2
wow,2
rekomendasi,3
ggwp,2
bolong,-5
bravo,3
done,4
dukung,4
kelas,4
ok,2
kuat,2
sesuai,2
gak kecewa,2
mantep,4
gak rugi,5
up to date,2
best,2
cepat,2
terima kasih,2
rapi,2
lokal tak gentar,3
tidak kecewa,4
tampan,4
produk unggul,4
salut,4
murah banget,3
ga jebol,3
gak kecewa,4
makasih,2
suka,4
sangat cepat,5
ori,3
cool,3
sampai tujuan,4
gokil,4
top,4
nyaman,4
sesuai,4
gak murahan,4
pas,2
local pride,4
lokaltakgentar,4
worth,4
oklah,4
enteng,4
recomend,3
cool,4
empuk,4
mantap,4
mantab,4
mantaaap,4
mantafffffff,4
mantaff,4
kualitas,3
mantul,4
nyaman,4
cepat,4
sip,4
recomended,4
puas,4
oke,4
terimakasih,4
awet,4
lokal tak gentar,4
kualitas mahal,4
okelah,4
kece,4
pas,4
jos,4
puas,4
cepat,4
good,4
selamat,3
bagus,3
mantap,3
alhamdulillah,3
keren,3
kren,3
senang,2
puas,2
baik,2
cepat,2
ramah,2
terima kasih,2
bermanfaat,2
mudah,2
nyaman,2
hebat,2
tepat,2
suka,2
lengkap,2
sempurna,2
terbaik,2
fantastis,2
luar biasa,2
pintar,2
baunya enak,2
wangi,2
bekerja dengan baik,2
berhasil,2
memuaskan,2
membantu,2
tepat waktu,2
indah,2
kualitas bagus,2
aman,2
efisien,2
baunya harum,2
pandai,2
licin,2
senang sekali,2
solid,2
menyenangkan,2
segar,2
terimakasih,2
pas,2
selamat datang,2
bodoh,2
sukses,2
diterima,2
sabar,2
tepat cepat,2
mengagumkan,2
mengesankan,2
bersih,2
lucu,2
mengesankan banget,2
manis,2
bego,2
jelas,2
lancar,2
didapat,2
sempurnanya,2
menyenangkan sangat,2
benar-benar,2
baunya wangi,2
mudah terpakai,2
terbuka,2
halus,2
sangat bagus,2
sempurna sekali,2
terimakasih banyak,2
teliti,2
mempesona,2
gampang,2
nyaman banget,2
penting,2
selamat sampai,2
paling,2
top,2
hebat sangat,2
enak,2
cukup,2
selesai,2
segera,2
hebat sekali,2
luar biasanya,2
luar biasa sekali,2
ok,2
kecepatan,2
telaten,2
pas sekali,2
tanggap,2
tuntas,2
sangat,2
diterimanya,2
baik-baik,2
ramah sangat,2
lengkap dan jelas,2
yang pas,2
sempurna banget,2
patut,2
sangat memuaskan,2
hebat banget,2
memuaskan sekali,2
lebih sempurna,2
tenang,2
mumpuni,2
luar biasa bagus,2
hebat luar biasa,2
mantap sekali,2
cakap,2
cakeupp,2
baik dan cepat,2
kreatif,2
sempurna sangat,2
cukup lengkap,2
lumayan,2
mencukupi,2
sukses banget,2
mencukupkan,2
selesai tuntas,2
nyaman sekali,2
sangat senang,2
dipakai,2
cocok sekali,2
berhasil sekali,2
lengkap dan memuaskan,2
benar-benar tepat,2
baik dan ramah,2
berguna,2
bagus sekali,2
lengkap sekali,2
lengkap dan terbaik,2
memuaskan banget,2
mudah dan cepat,2
baik dan jelas,2
sangat puas,2
tuntas sekali,2
sangat lengkap,2
lengkap dan baik,2
memuaskan sangat,2
tepat dan cepat,2
hebat dan bagus,2
sangat baik,2
sangat cocok,2
mantap banget,2
sangat nyaman,2
bisa,2
baik banget,2
gila,2
lengkap dan cepat,2
banyak,2
sempurna dan tepat,2
tidak cepat rusak,2
lengkap dan nyaman,2
lengkap dan bagus,2
cepat dan tepat,2
menyenangkan banget,2
tepat dan ramah,2
sempurna dan bagus,2
nyaman dan aman,2
baik dan lengkap,2
ramah dan baik,2
tepat dan baik,2
a+,4
acungan jempol,3
adaptif,3
adil,3
afinitas,3
afirmasi,3
agilely,3
agung,3
ahli,3
ahlinya,3
ajaib,3
aklamasi,3
akomodatif,3
akurat,3
alam mimpi,3
alhamdulillah,3
allahu akbar,3
altruistis,3
aman,3
amanah,3
amat,3
ambisius,3
andal,3
aneh,3
anggun,3
angin sepoi-sepoi,3
angkat,3
antusias,3
antusiasme,3
apik,3
apresiasi,3
asli,3
aspirasi,3
asyik,3
bagos,3
bagus,3
bahagia,3
baik,3
baik diposisikan,3
baik sekali,3
baik-baik,3
bakat,3
bangga,3
bantuan,3
banyak,3
banyak akal,3
barang baru,3
batu permata,3
bebas,3
bebas masalah,3
bebas pulsa,3
bebas rasa sakit,3
bebas resiko,3
bekerja,3
bekerja keras,3
belas kasihan,3
benar,3
benar-benar,3
bengal,3
beradaptasi,3
beralasan,3
berani,3
berapi,3
berarti,3
berbaik hati,3
berbakat,3
berbesar hati,3
berbudi luhur,3
bercacat,3
bercahaya,3
bercanda,3
bercita-cita,3
berdaya cipta,3
berdebar,3
berdedikasi,3
berdikari,3
berempati,3
bergairah,3
bergaya,3
bergema,3
bergembira,3
bergembira sekali,3
bergengsi,3
bergizi,3
berguna,3
berharga,3
berhasil,3
berhutang,3
berikut,3
berimbang,3
berisi,3
beristirahat,3
berjanji,3
berjasa,3
berjaya,3
berjenis,3
berjuang,3
berkapasitas besar,3
berkat,3
berkeinginan,3
berkelakuan baik,3
berkelanjutan,3
berkembang,3
berkeyakinan,3
berkilau,3
berkilauan,3
berkualitas,3
berlangsung mudah,3
berlimpah,3
berlimpah-limpah,3
bermaksud baik,3
bermanfaat,3
bermanuver,3
bermartabat,3
bernilai,3
berpendidikan,3
berpendidikan baik,3
berpengalaman,3
berpengaruh,3
berpengetahuan luas,3
berpijar,3
bersatu,3
bersedia melakukan,3
bersemangat,3
bersemangat meluap-luap,3
bersenang-senang,3
bersenda gurau,3
berseri,3
bersifat dermawan,3
bersifat mendamaikan,3
bersih,3
bersinar,3
bersorak,3
bersubsidi,3
bersuka cita,3
bersuka ria,3
bersyukur,3
bertanggung jawab,3
bertekun,3
berterimakasih,3
beruntung,3
berwarna ria,3
berwawasan,3
besar,3
besar sekali,3
biaya rendah,3
bijak,3
bijaksana,3
bikin cemburu,3
bimbingan,3
bintang rock,3
bisa digunakan,3
bisa diterapkan,3
bonus,3
boros,3
brilian,3
cahaya,3
cahaya redup,3
cakap,3
cantik,3
cashbacks,3
cekatan,3
cemas,3
cemerlang,3
cepat,3
cerah,3
cerdas,3
cerdik,3
cergas,3
cermat,3
cetar,3
cetar membahana,3
cinta,3
cocok,3
contoh,3
cukup,3
cukup besar,3
cukuplah,3
damai,3
dapat diandalkan,3
dapat dicapai,3
dapat diganti,3
dapat dipercaya,3
dapat diraih,3
dapat disesuaikan,3
daya tarik,3
trusted,3
dengan mewah,3
dengan senang hati,3
dengan sopan,3
dermawan,3
dewasa,3
diakses,3
diakui,3
diam,3
dianggap baik,3
dibaca,3
dibebaskan,3
diberikan,3
dibersihkan,3
dibuat dengan baik,3